orderNumber,productCode,quantityOrdered,priceEach,orderLineNumber,orderDate,requiredDate,shippedDate,status,comments,customerNumber,customerName,contactLastName,contactFirstName,phone,addressLine1,addressLine2,city,state,postalCode,country,salesRepEmployeeNumber,creditLimit,productName,productLine,productScale,productVendor,productDescription,quantityInStock,buyPrice,MSRP
10103,S10_1949,26,214.3,11,2003-01-29,2003-02-07,2003-02-02,Shipped,,121,Baane Mini Imports,Bergulfsen,Jonas ,07-98 9555,Erling Skakkes gate 78,,Stavern,,4110,Norway,1504.0,81700,*,Vintage Cars,1:50,Studio M Art Models,*,5227.0,17.435980275796787,33.92552800206117
10103,S10_4962,42,119.67,4,2003-01-29,2003-02-07,2003-02-02,Shipped,,121,Baane Mini Imports,Bergulfsen,Jonas ,07-98 9555,Erling Skakkes gate 78,,Stavern,,4110,Norway,1504.0,81700,*,Vintage Cars,1:32,Carousel DieCast Legends,*,3389.0,15.918813967741816,35.0404114605173
10103,S12_1666,27,121.64,8,2003-01-29,2003-02-07,2003-02-02,Shipped,,121,Baane Mini Imports,Bergulfsen,Jonas ,07-98 9555,Erling Skakkes gate 78,,Stavern,,4110,Norway,1504.0,81700,*,Vintage Cars,1:50,Studio M Art Models,*,7932.0,22.94929787898249,35.829387864887934
10103,S18_1097,35,94.5,10,2003-01-29,2003-02-07,2003-02-02,Shipped,,121,Baane Mini Imports,Bergulfsen,Jonas ,07-98 9555,Erling Skakkes gate 78,,Stavern,,4110,Norway,1504.0,81700,*,Classic Cars,1:18,Red Start Diecast,*,9712.0,99.43012388804244,205.1164800068545
10103,S18_2432,22,58.34,2,2003-01-29,2003-02-07,2003-02-02,Shipped,,121,Baane Mini Imports,Bergulfsen,Jonas ,07-98 9555,Erling Skakkes gate 78,,Stavern,,4110,Norway,1504.0,81700,*,Vintage Cars,1:32,Carousel DieCast Legends,*,593.0,15.993084653791923,35.16011005180424
10103,S18_2949,27,92.19,12,2003-01-29,2003-02-07,2003-02-02,Shipped,,121,Baane Mini Imports,Bergulfsen,Jonas ,07-98 9555,Erling Skakkes gate 78,,Stavern,,4110,Norway,1504.0,81700,*,Trucks and Buses,1:18,Red Start Diecast,*,6797.0,69.81069569999387,147.0231872854045
10103,S18_2957,35,61.84,14,2003-01-29,2003-02-07,2003-02-02,Shipped,,121,Baane Mini Imports,Bergulfsen,Jonas ,07-98 9555,Erling Skakkes gate 78,,Stavern,,4110,Norway,1504.0,81700,*,Classic Cars,1:18,Min Lin Diecast,*,9771.0,77.9,124.4705436561708
10103,S18_3136,25,86.92,13,2003-01-29,2003-02-07,2003-02-02,Shipped,,121,Baane Mini Imports,Bergulfsen,Jonas ,07-98 9555,Erling Skakkes gate 78,,Stavern,,4110,Norway,1504.0,81700,*,Trucks and Buses,1:32,Highway 66 Mini Classics,*,26.0,76.71816211352018,116.77040725900602
10103,S18_3320,46,86.31,16,2003-01-29,2003-02-07,2003-02-02,Shipped,,121,Baane Mini Imports,Bergulfsen,Jonas ,07-98 9555,Erling Skakkes gate 78,,Stavern,,4110,Norway,1504.0,81700,*,Trucks and Buses,1:32,Red Start Diecast,*,16.0,24.494822118886127,54.533972251021495
10103,S18_4600,36,98.07,5,2003-01-29,2003-02-07,2003-02-02,Shipped,,121,Baane Mini Imports,Bergulfsen,Jonas ,07-98 9555,Erling Skakkes gate 78,,Stavern,,4110,Norway,1504.0,81700,*,Classic Cars,1:18,Min Lin Diecast,*,9664.0,101.28046419116896,200.2155324345188
10103,S18_4668,41,40.75,9,2003-01-29,2003-02-07,2003-02-02,Shipped,,121,Baane Mini Imports,Bergulfsen,Jonas ,07-98 9555,Erling Skakkes gate 78,,Stavern,,4110,Norway,1504.0,81700,*,Trucks and Buses,1:12,Red Start Diecast,*,32.0,90.73124823006184,185.1359006155371
10103,S24_2300,36,107.34,1,2003-01-29,2003-02-07,2003-02-02,Shipped,,121,Baane Mini Imports,Bergulfsen,Jonas ,07-98 9555,Erling Skakkes gate 78,,Stavern,,4110,Norway,1504.0,81700,*,Vintage Cars,1:18,Welly Diecast Productions,*,6763.0,71.97340832949074,117.44
10103,S24_4258,25,88.62,15,2003-01-29,2003-02-07,2003-02-02,Shipped,,121,Baane Mini Imports,Bergulfsen,Jonas ,07-98 9555,Erling Skakkes gate 78,,Stavern,,4110,Norway,1504.0,81700,*,Classic Cars,1:18,Gearbox Collectibles,*,9581.0,86.3786640985903,168.78352137821227
10103,S32_1268,31,92.46,3,2003-01-29,2003-02-07,2003-02-02,Shipped,,121,Baane Mini Imports,Bergulfsen,Jonas ,07-98 9555,Erling Skakkes gate 78,,Stavern,,4110,Norway,1504.0,81700,*,Classic Cars,1:18,Min Lin Diecast,*,9762.0,69.06119857215974,138.9947734692296
10103,S32_3522,45,63.35,7,2003-01-29,2003-02-07,2003-02-02,Shipped,,121,Baane Mini Imports,Bergulfsen,Jonas ,07-98 9555,Erling Skakkes gate 78,,Stavern,,4110,Norway,1504.0,81700,*,Trucks and Buses,1:18,Red Start Diecast,*,2881.0,77.9,122.8334096254262
10103,S700_2824,42,94.07,6,2003-01-29,2003-02-07,2003-02-02,Shipped,,121,Baane Mini Imports,Bergulfsen,Jonas ,07-98 9555,Erling Skakkes gate 78,,Stavern,,4110,Norway,1504.0,81700,,,,,,,,
10104,S12_3148,34,131.44,1,2003-01-31,2003-02-09,2003-02-01,Shipped,,141,Euro+ Shopping Channel,Freyre,Diego ,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,1370.0,227600,*,Classic Cars,1:10,Gearbox Collectibles,*,6627.0,103.12321224064144,214.0068098498034
10104,S12_4473,41,111.39,9,2003-01-31,2003-02-09,2003-02-01,Shipped,,141,Euro+ Shopping Channel,Freyre,Diego ,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,1370.0,227600,*,Classic Cars,1:10,Motor City Art Classics,*,6624.0,103.21459492712884,212.79967072628625
10104,S18_2238,24,135.9,8,2003-01-31,2003-02-09,2003-02-01,Shipped,,141,Euro+ Shopping Channel,Freyre,Diego ,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,1370.0,227600,*,Vintage Cars,1:50,Studio M Art Models,*,9160.0,16.044046839070116,34.27395968413069
10104,S18_2319,29,122.73,12,2003-01-31,2003-02-09,2003-02-01,Shipped,,141,Euro+ Shopping Channel,Freyre,Diego ,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,1370.0,227600,*,Classic Cars,1:18,Gearbox Collectibles,*,9712.0,72.85796895108716,143.42995999943065
10104,S18_3232,23,165.95,13,2003-01-31,2003-02-09,2003-02-01,Shipped,,141,Euro+ Shopping Channel,Freyre,Diego ,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,1370.0,227600,*,Trucks and Buses,1:32,Welly Diecast Productions,*,4101.0,49.36988239212934,62.67888722685704
10104,S18_4027,38,119.2,3,2003-01-31,2003-02-09,2003-02-01,Shipped,,141,Euro+ Shopping Channel,Freyre,Diego ,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,1370.0,227600,*,Trucks and Buses,1:32,Exoto Designs,*,2714.0,33.089306258769675,62.240806285820575
10104,S24_1444,35,52.02,6,2003-01-31,2003-02-09,2003-02-01,Shipped,,141,Euro+ Shopping Channel,Freyre,Diego ,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,1370.0,227600,*,Vintage Cars,1:32,Red Start Diecast,*,51.0,33.11226241420189,60.54169649273652
10104,S24_2840,44,30.41,10,2003-01-31,2003-02-09,2003-02-01,Shipped,,141,Euro+ Shopping Channel,Freyre,Diego ,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,1370.0,227600,*,Classic Cars,1:18,Gearbox Collectibles,*,9771.0,94.80870019670574,152.25099017390812
10104,S24_4048,26,106.45,5,2003-01-31,2003-02-09,2003-02-01,Shipped,,141,Euro+ Shopping Channel,Freyre,Diego ,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,1370.0,227600,*,Vintage Cars,1:32,Autoart Studio Design,*,20.0,26.267688619807817,50.2245273877395
10104,S32_2509,35,51.95,11,2003-01-31,2003-02-09,2003-02-01,Shipped,,141,Euro+ Shopping Channel,Freyre,Diego ,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,1370.0,227600,*,Classic Cars,1:18,Red Start Diecast,*,8909.0,93.83684250591509,208.54269086899245
10104,S32_3207,49,56.55,4,2003-01-31,2003-02-09,2003-02-01,Shipped,,141,Euro+ Shopping Channel,Freyre,Diego ,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,1370.0,227600,*,Vintage Cars,1:18,Min Lin Diecast,*,9770.0,44.586769428031,68.96250962315315
10104,S50_1392,33,114.59,7,2003-01-31,2003-02-09,2003-02-01,Shipped,,141,Euro+ Shopping Channel,Freyre,Diego ,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,1370.0,227600,*,Trucks and Buses,1:10,Motor City Art Classics,*,4732.0,102.75278077898152,210.96654390762424
10104,S50_1514,32,53.31,2,2003-01-31,2003-02-09,2003-02-01,Shipped,,141,Euro+ Shopping Channel,Freyre,Diego ,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,1370.0,227600,*,Vintage Cars,1:18,Studio M Art Models,*,6505.0,22.385539638103182,45.47422337466433
10105,S10_4757,50,127.84,2,2003-02-11,2003-02-21,2003-02-12,Shipped,,145,Danish Wholesale Imports,Petersen,Jytte ,31 12 3555,Vinbæltet 34,,Kobenhavn,,1734,Denmark,1401.0,83400,*,Trucks and Buses,1:10,Welly Diecast Productions,*,2855.0,103.05127751457846,213.39418037547185
10105,S12_1108,41,205.72,15,2003-02-11,2003-02-21,2003-02-12,Shipped,,145,Danish Wholesale Imports,Petersen,Jytte ,31 12 3555,Vinbæltet 34,,Kobenhavn,,1734,Denmark,1401.0,83400,*,Vintage Cars,1:18,Studio M Art Models,*,9444.0,16.186669156448907,34.79863608943764
10105,S12_3891,29,141.88,14,2003-02-11,2003-02-21,2003-02-12,Shipped,,145,Danish Wholesale Imports,Petersen,Jytte ,31 12 3555,Vinbæltet 34,,Kobenhavn,,1734,Denmark,1401.0,83400,*,Classic Cars,1:18,Min Lin Diecast,*,9695.0,91.1760384427472,148.6503437158039
10105,S18_3140,22,136.59,11,2003-02-11,2003-02-21,2003-02-12,Shipped,,145,Danish Wholesale Imports,Petersen,Jytte ,31 12 3555,Vinbæltet 34,,Kobenhavn,,1734,Denmark,1401.0,83400,*,Trucks and Buses,1:10,Motor City Art Classics,*,1898.0,102.36510595569348,194.310332212476
10105,S18_3259,38,87.73,13,2003-02-11,2003-02-21,2003-02-12,Shipped,,145,Danish Wholesale Imports,Petersen,Jytte ,31 12 3555,Vinbæltet 34,,Kobenhavn,,1734,Denmark,1401.0,83400,*,Trucks and Buses,1:12,Red Start Diecast,*,148.0,99.38581889454464,208.44195514880167
10105,S18_4522,41,75.48,10,2003-02-11,2003-02-21,2003-02-12,Shipped,,145,Danish Wholesale Imports,Petersen,Jytte ,31 12 3555,Vinbæltet 34,,Kobenhavn,,1734,Denmark,1401.0,83400,*,Trucks and Buses,1:32,Classic Metal Creations,*,22.0,33.3,56.26010797028922
10105,S24_2011,43,117.97,9,2003-02-11,2003-02-21,2003-02-12,Shipped,,145,Danish Wholesale Imports,Petersen,Jytte ,31 12 3555,Vinbæltet 34,,Kobenhavn,,1734,Denmark,1401.0,83400,*,Classic Cars,1:18,Gearbox Collectibles,*,9764.0,89.4251199730417,170.25998549699517
10105,S24_3151,44,73.46,4,2003-02-11,2003-02-21,2003-02-12,Shipped,,145,Danish Wholesale Imports,Petersen,Jytte ,31 12 3555,Vinbæltet 34,,Kobenhavn,,1734,Denmark,1401.0,83400,*,Classic Cars,1:10,Motor City Art Classics,*,7322.0,101.7825520549365,169.25336774408825
10105,S24_3816,50,75.47,1,2003-02-11,2003-02-21,2003-02-12,Shipped,,145,Danish Wholesale Imports,Petersen,Jytte ,31 12 3555,Vinbæltet 34,,Kobenhavn,,1734,Denmark,1401.0,83400,*,Classic Cars,1:18,Min Lin Diecast,*,9576.0,102.45462953285136,211.3478432348179
10105,S700_1138,41,54.0,5,2003-02-11,2003-02-21,2003-02-12,Shipped,,145,Danish Wholesale Imports,Petersen,Jytte ,31 12 3555,Vinbæltet 34,,Kobenhavn,,1734,Denmark,1401.0,83400,*,Motorcycles,1:32,Highway 66 Mini Classics,*,15.0,32.70085631887025,79.81734721710464
10105,S700_1938,29,86.61,12,2003-02-11,2003-02-21,2003-02-12,Shipped,,145,Danish Wholesale Imports,Petersen,Jytte ,31 12 3555,Vinbæltet 34,,Kobenhavn,,1734,Denmark,1401.0,83400,*,Trucks and Buses,1:12,Red Start Diecast,*,1639.0,102.32309568100568,212.143631487222
10105,S700_2610,31,60.72,3,2003-02-11,2003-02-21,2003-02-12,Shipped,,145,Danish Wholesale Imports,Petersen,Jytte ,31 12 3555,Vinbæltet 34,,Kobenhavn,,1734,Denmark,1401.0,83400,,,,,,,,
10105,S700_3505,39,92.16,6,2003-02-11,2003-02-21,2003-02-12,Shipped,,145,Danish Wholesale Imports,Petersen,Jytte ,31 12 3555,Vinbæltet 34,,Kobenhavn,,1734,Denmark,1401.0,83400,,,,,,,,
10105,S700_3962,22,99.31,7,2003-02-11,2003-02-21,2003-02-12,Shipped,,145,Danish Wholesale Imports,Petersen,Jytte ,31 12 3555,Vinbæltet 34,,Kobenhavn,,1734,Denmark,1401.0,83400,,,,,,,,
10105,S72_3212,25,44.77,8,2003-02-11,2003-02-21,2003-02-12,Shipped,,145,Danish Wholesale Imports,Petersen,Jytte ,31 12 3555,Vinbæltet 34,,Kobenhavn,,1734,Denmark,1401.0,83400,,,,,,,,
10106,S18_1662,36,134.04,12,2003-02-17,2003-02-24,2003-02-21,Shipped,,278,Rovelli Gifts,Rovelli,Giovanni ,035-640555,Via Ludovico il Moro 22,,Bergamo,,24100,Italy,1401.0,119600,*,Vintage Cars,1:32,Autoart Studio Design,*,550.0,23.447387505088827,38.00587813983215
10106,S18_2581,34,81.1,2,2003-02-17,2003-02-24,2003-02-21,Shipped,,278,Rovelli Gifts,Rovelli,Giovanni ,035-640555,Via Ludovico il Moro 22,,Bergamo,,24100,Italy,1401.0,119600,*,Vintage Cars,1:32,Highway 66 Mini Classics,*,26.0,27.16694400129285,44.36794071016261
10106,S18_3029,41,80.86,18,2003-02-17,2003-02-24,2003-02-21,Shipped,,278,Rovelli Gifts,Rovelli,Giovanni ,035-640555,Via Ludovico il Moro 22,,Bergamo,,24100,Italy,1401.0,119600,*,Classic Cars,1:10,Min Lin Diecast,*,7867.0,103.3788833474543,212.07115285698
10106,S18_3856,41,94.22,17,2003-02-17,2003-02-24,2003-02-21,Shipped,,278,Rovelli Gifts,Rovelli,Giovanni ,035-640555,Via Ludovico il Moro 22,,Bergamo,,24100,Italy,1401.0,119600,*,Trucks and Buses,1:12,Welly Diecast Productions,*,2607.0,95.47850191458072,164.1133884490461
10106,S24_1785,28,107.23,4,2003-02-17,2003-02-24,2003-02-21,Shipped,,278,Rovelli Gifts,Rovelli,Giovanni ,035-640555,Via Ludovico il Moro 22,,Bergamo,,24100,Italy,1401.0,119600,*,Trucks and Buses,1:18,Motor City Art Classics,*,6627.0,101.53780451040632,212.10430115281773
10106,S24_2841,49,65.77,13,2003-02-17,2003-02-24,2003-02-21,Shipped,,278,Rovelli Gifts,Rovelli,Giovanni ,035-640555,Via Ludovico il Moro 22,,Bergamo,,24100,Italy,1401.0,119600,*,Vintage Cars,1:18,Second Gear Diecast,*,3568.0,60.24125029504199,76.51211783886293
10106,S24_3420,31,55.89,14,2003-02-17,2003-02-24,2003-02-21,Shipped,,278,Rovelli Gifts,Rovelli,Giovanni ,035-640555,Via Ludovico il Moro 22,,Bergamo,,24100,Italy,1401.0,119600,*,Trucks and Buses,1:10,Motor City Art Classics,*,6618.0,103.022047100954,199.41867626902965
10106,S24_3949,50,55.96,11,2003-02-17,2003-02-24,2003-02-21,Shipped,,278,Rovelli Gifts,Rovelli,Giovanni ,035-640555,Via Ludovico il Moro 22,,Bergamo,,24100,Italy,1401.0,119600,*,Vintage Cars,1:24,Carousel DieCast Legends,*,1486.0,15.919722742584774,34.179131035183346
10106,S24_4278,26,71.0,3,2003-02-17,2003-02-24,2003-02-21,Shipped,,278,Rovelli Gifts,Rovelli,Giovanni ,035-640555,Via Ludovico il Moro 22,,Bergamo,,24100,Italy,1401.0,119600,*,Trucks and Buses,1:12,Welly Diecast Productions,*,740.0,101.0020790584118,189.3249032143667
10106,S32_4289,33,65.35,5,2003-02-17,2003-02-24,2003-02-21,Shipped,,278,Rovelli Gifts,Rovelli,Giovanni ,035-640555,Via Ludovico il Moro 22,,Bergamo,,24100,Italy,1401.0,119600,*,Classic Cars,1:18,Gearbox Collectibles,*,9437.0,77.9,149.0344687116821
10106,S50_1341,39,35.78,6,2003-02-17,2003-02-24,2003-02-21,Shipped,,278,Rovelli Gifts,Rovelli,Giovanni ,035-640555,Via Ludovico il Moro 22,,Bergamo,,24100,Italy,1401.0,119600,*,Trucks and Buses,1:32,Autoart Studio Design,*,482.0,61.43803904629468,94.57902763166648
10106,S700_1691,31,91.34,7,2003-02-17,2003-02-24,2003-02-21,Shipped,,278,Rovelli Gifts,Rovelli,Giovanni ,035-640555,Via Ludovico il Moro 22,,Bergamo,,24100,Italy,1401.0,119600,*,Classic Cars,1:18,Min Lin Diecast,*,9764.0,47.03637502775394,68.24552369300221
10106,S700_2047,30,85.09,16,2003-02-17,2003-02-24,2003-02-21,Shipped,,278,Rovelli Gifts,Rovelli,Giovanni ,035-640555,Via Ludovico il Moro 22,,Bergamo,,24100,Italy,1401.0,119600,,,,,,,,
10106,S700_2466,34,99.72,9,2003-02-17,2003-02-24,2003-02-21,Shipped,,278,Rovelli Gifts,Rovelli,Giovanni ,035-640555,Via Ludovico il Moro 22,,Bergamo,,24100,Italy,1401.0,119600,,,,,,,,
10106,S700_2834,32,113.9,1,2003-02-17,2003-02-24,2003-02-21,Shipped,,278,Rovelli Gifts,Rovelli,Giovanni ,035-640555,Via Ludovico il Moro 22,,Bergamo,,24100,Italy,1401.0,119600,,,,,,,,
10106,S700_3167,44,76.0,8,2003-02-17,2003-02-24,2003-02-21,Shipped,,278,Rovelli Gifts,Rovelli,Giovanni ,035-640555,Via Ludovico il Moro 22,,Bergamo,,24100,Italy,1401.0,119600,,,,,,,,
10106,S700_4002,48,70.33,10,2003-02-17,2003-02-24,2003-02-21,Shipped,,278,Rovelli Gifts,Rovelli,Giovanni ,035-640555,Via Ludovico il Moro 22,,Bergamo,,24100,Italy,1401.0,119600,,,,,,,,
10106,S72_1253,48,43.7,15,2003-02-17,2003-02-24,2003-02-21,Shipped,,278,Rovelli Gifts,Rovelli,Giovanni ,035-640555,Via Ludovico il Moro 22,,Bergamo,,24100,Italy,1401.0,119600,,,,,,,,
10107,S10_1678,30,81.35,2,2003-02-24,2003-03-03,2003-02-26,Shipped,Difficult to negotiate with customer. We need more marketing materials,131,Land of Toys Inc.,Lee,Kwai,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,1323.0,114900,*,Vintage Cars,1:50,Carousel DieCast Legends,*,6636.0,15.990103455534609,40.09642116141407
10107,S10_2016,39,105.86,5,2003-02-24,2003-03-03,2003-02-26,Shipped,Difficult to negotiate with customer. We need more marketing materials,131,Land of Toys Inc.,Lee,Kwai,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,1323.0,114900,*,Vintage Cars,1:18,Studio M Art Models,*,7919.0,15.942893176776394,34.00734874868129
10107,S10_4698,27,172.36,4,2003-02-24,2003-03-03,2003-02-26,Shipped,Difficult to negotiate with customer. We need more marketing materials,131,Land of Toys Inc.,Lee,Kwai,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,1323.0,114900,*,Trucks and Buses,1:32,Welly Diecast Productions,*,24.0,32.59215045060954,55.370045274079686
10107,S12_2823,21,122.0,1,2003-02-24,2003-03-03,2003-02-26,Shipped,Difficult to negotiate with customer. We need more marketing materials,131,Land of Toys Inc.,Lee,Kwai,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,1323.0,114900,*,Classic Cars,1:18,Gearbox Collectibles,*,9769.0,95.42810526454146,191.12653282342603
10107,S18_2625,29,52.7,6,2003-02-24,2003-03-03,2003-02-26,Shipped,Difficult to negotiate with customer. We need more marketing materials,131,Land of Toys Inc.,Lee,Kwai,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,1323.0,114900,*,Vintage Cars,1:24,Carousel DieCast Legends,*,6638.0,15.92148036192097,33.62114460686405
10107,S24_1578,25,96.92,3,2003-02-24,2003-03-03,2003-02-26,Shipped,Difficult to negotiate with customer. We need more marketing materials,131,Land of Toys Inc.,Lee,Kwai,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,1323.0,114900,*,Trucks and Buses,1:32,Autoart Studio Design,*,25.0,77.9,123.6233913267614
10107,S24_2000,38,73.12,7,2003-02-24,2003-03-03,2003-02-26,Shipped,Difficult to negotiate with customer. We need more marketing materials,131,Land of Toys Inc.,Lee,Kwai,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,1323.0,114900,*,Vintage Cars,1:18,Min Lin Diecast,*,9739.0,60.76413791326473,91.76911538638934
10107,S32_1374,20,88.9,8,2003-02-24,2003-03-03,2003-02-26,Shipped,Difficult to negotiate with customer. We need more marketing materials,131,Land of Toys Inc.,Lee,Kwai,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,1323.0,114900,*,Classic Cars,1:18,Studio M Art Models,*,9359.0,20.82355274844421,42.79560362332779
10108,S12_1099,33,165.38,6,2003-03-03,2003-03-12,2003-03-08,Shipped,,385,Cruz & Sons Co.,Cruz,Arnold,+63 2 555 3587,15 McCallum Street,NatWest Center #13-03,Makati City,,1227 MM,Philippines,1621.0,81500,*,Trucks and Buses,1:12,Red Start Diecast,*,171.0,101.83273906318328,209.45678331472223
10108,S12_3380,45,96.3,4,2003-03-03,2003-03-12,2003-03-08,Shipped,,385,Cruz & Sons Co.,Cruz,Arnold,+63 2 555 3587,15 McCallum Street,NatWest Center #13-03,Makati City,,1227 MM,Philippines,1621.0,81500,*,Trucks and Buses,1:32,Welly Diecast Productions,*,40.0,66.64467294805083,118.1725803028773
10108,S12_3990,39,75.81,7,2003-03-03,2003-03-12,2003-03-08,Shipped,,385,Cruz & Sons Co.,Cruz,Arnold,+63 2 555 3587,15 McCallum Street,NatWest Center #13-03,Makati City,,1227 MM,Philippines,1621.0,81500,*,Classic Cars,1:18,Min Lin Diecast,*,9765.0,94.339098005355,189.47369316959387
10108,S12_4675,36,107.1,3,2003-03-03,2003-03-12,2003-03-08,Shipped,,385,Cruz & Sons Co.,Cruz,Arnold,+63 2 555 3587,15 McCallum Street,NatWest Center #13-03,Makati City,,1227 MM,Philippines,1621.0,81500,*,Trucks and Buses,1:18,Autoart Studio Design,*,167.0,66.8751659417571,123.12211027958806
10108,S18_1889,38,67.76,2,2003-03-03,2003-03-12,2003-03-08,Shipped,,385,Cruz & Sons Co.,Cruz,Arnold,+63 2 555 3587,15 McCallum Street,NatWest Center #13-03,Makati City,,1227 MM,Philippines,1621.0,81500,*,Classic Cars,1:18,Min Lin Diecast,*,6698.0,93.8860443489526,143.49848019318546
10108,S18_3278,26,73.17,9,2003-03-03,2003-03-12,2003-03-08,Shipped,,385,Cruz & Sons Co.,Cruz,Arnold,+63 2 555 3587,15 McCallum Street,NatWest Center #13-03,Makati City,,1227 MM,Philippines,1621.0,81500,*,Vintage Cars,1:50,Studio M Art Models,*,7693.0,16.20675014856498,33.69227691995543
10108,S18_3482,29,132.29,8,2003-03-03,2003-03-12,2003-03-08,Shipped,,385,Cruz & Sons Co.,Cruz,Arnold,+63 2 555 3587,15 McCallum Street,NatWest Center #13-03,Makati City,,1227 MM,Philippines,1621.0,81500,*,Vintage Cars,1:24,Carousel DieCast Legends,*,6971.0,15.932137155876465,33.35924691612384
