Agency,Department,Name,Title,Room Number,Street Address,City,State,Zip Code,Telephone,Fax,Email Address,Website,Online Request Form,Notes
*,Department of Veterans Affairs,,FOIA Requester Service Center,,,,,,001-783-903-0898x30693,784.800.8998,,,http://www.justice.gov/oip/oip-request.html,
*,Department of Veterans Affairs,,FOIA Public Liaison,,,,,,372-759-3313,,,,,
*,Department of Transportation,*,FOIA Public Liaison,,,,,,539-737-3596x14491,,rosemichelle@gmail.com,,,
*,Department of Defense,*,*,,,,,,888.307.6933x505,,,,,
*,Department of Transportation,*,FOIA Requester Service Center,,,,,,001-887-216-7753,,kristy19@yahoo.com,,,
*,Department of Homeland Security,,FOIA Requester Service Center,,,,,,9398594557,,,,,
*,Department of Commerce,*,*,*,*,Washington,DC,*,859-086-8127,610.819.2563x3077,lisa95@hotmail.com,*,,
*,Department of Defense,*,*,*,*,Washington,*,*,614.116.6817,(849)288-8691x28799,brittanywall@hotmail.com,*,,
*,Department of Labor ,*,FOIA Public Liaison,,,,,,001-144-013-2862x7262,,spenceelizabeth@hotmail.com,,,
*,*,*,FOIA Public Liaison,,,,,,,,,,,
*,Department of Justice,,FOIA Requester Service Center,,,,,,+1-988-096-9243,,,,,
*,*,,FOIA Requester Service Center,,,,,,340-390-4781,,,,,
*,Department of Veterans Affairs,*,FOIA Public Liaison,,,,,,(438)036-6083x40001,,,,,*
*,Department of Justice,*,*,*,*,Washington,DC,*,001-372-832-7996,,margaretwagner@hotmail.com,*,*,
*,*,,FOIA Requester Service Center,,,,,,032-989-0314,813.224.3941,,,,
*,*,,FOIA Requester Service Center,,,,,,,,,,,
*,Department of Health and Human Services,*,*,*,,Washington,DC,*,316.459.0383,,llin@hotmail.com,*,,
*,Department of Homeland Security,*,FOIA Officer,*,*,*,MD,*,+1-296-372-4755x343,368.341.9691,pleonard@yahoo.com,*,,
*,Department of Agriculture,,FOIA Requester Service Center,,*,,,,,,,,,
*,Department of Agriculture,,FOIA Requester Service Center,,,,,,146-017-7524,,robertsbrenda@yahoo.com,,,
*,Department of Justice,*,FOIA Public Liaison,,,,,,+1-325-333-5894x97498,,,,,
*,Department of Agriculture,*,FOIA Public Liaison,,,,,,294.887.7264x9808,,,,,
*,Department of Veterans Affairs,*,FOIA Public Liaison,,,,,,,,,,,
*,Department of Labor ,*,FOIA Officer,*,*,*,MD,*,6248631547,5359707388,hernandezmichele@yahoo.com,*,,This office has additional FOIA contact information that can be found by visiting its website.
*,Department of Defense,,FOIA Requester Service Center,,,,,,001-062-865-2569x3989,,,,,
*,Department of Defense,*,*,*,*,*,*,*,+1-034-589-2160x802,(652)453-8009x8276,kristi44@gmail.com,*,*,
*,Department of Defense,*,*,*,*,*,VA,*,(659)343-7079,001-145-486-5761,hunttrevor@gmail.com,*,,
*,Department of Defense,,FOIA Requester Service Center,,,,,,591.847.7182,,,,,
*,Department of Health and Human Services,*,FOIA Public Liaison,,,,,,242.236.8829x9564,,,,,
*,Department of Energy,*,FOIA Public Liaison,,,,,,(425)710-7789x9360,,,,,
*,Department of Commerce,*,FOIA Public Liaison,,,,,,523-925-2304x02872,,danielcunningham@hotmail.com,,,
*,Department of Energy,*,FOIA Public Liaison,,,,,,5247361683,,amberbrady@gmail.com,,,
*,Department of Veterans Affairs,*,FOIA Public Liaison,,,,DC,,001-562-286-3674x45212,,,,,*
*,Department of Veterans Affairs,,FOIA Requester Service Center,,,,,,,,tamaramcbride@gmail.com,,,
*,Department of Health and Human Services,*,FOIA Public Liaison,,,,,,+1-494-001-2845x4826,,,,,
*,Department of Justice,*,FOIA Public Liaison,,,,,,+1-003-699-4707x216,461-531-4711,,,,
*,*,*,FOIA Public Liaison,,,,,,(451)563-6185x6789,,,,https://www.treasury.gov/foia/pages/gofoia.aspx,
*,Department of Transportation,*,FOIA Public Liaison,,,,,,334-819-1065,,richardsjennifer@gmail.com,,,
*,Department of Homeland Security,,FOIA Requester Service Center,,,,,,001-801-376-4731,,zmcdonald@hotmail.com,,,
*,Department of Labor ,,FOIA Requester Service Center,,,,,,(695)218-1031,,tparsons@gmail.com,,,
*,Department of Agriculture,*,FOIA Public Liaison,,,,,,185.627.6956x273,,,,,
*,Department of Defense,*,*,*,*,Washington,DC,*,(069)426-8455x909,(817)418-6478,andrew94@hotmail.com,*,*,
*,Department of Defense,,FOIA Requester Service Center,,,,,,+1-526-028-1979,,,,,
*,Department of Justice,,FOIA Requester Service Center,,,,,,303.209.5118x8632,,,,,
*,Department of Energy,,FOIA Requester Service Center,,,,,,(557)290-9738x44667,,,,,
*,*,*,FOIA Public Liaison,,,,,,001-034-445-2645x2683,,,,,
*,Department of Energy,,FOIA Requester Service Center,,,,,,+1-980-735-4728x692,,,,,
*,Department of Justice,*,FOIA Public Liaison,,,,,,270.055.3233x797,,,*,,
*,Department of Energy,*,FOIA Officer,,*,*,*,*,(203)258-3546x533,(212)930-9347x6926,garypham@yahoo.com,*,*,
*,Department of Justice,,FOIA Requester Service Center,,,,,,(247)540-9241x96554,,,,,
*,Department of Defense,,*,,,,VA,,,,,,,
*,Department of Labor ,*,*,*,"200 Constitution Avenue, NW",Washington,DC,*,(904)151-9344x35235,892-107-7277,jonesthomas@hotmail.com,*,,This office has additional FOIA contact information that can be found by visiting its website.
*,Department of Defense,,FOIA Requester Service Center,,,,,,+1-046-753-2052,,,,,*
*,Department of Energy,,FOIA Requester Service Center,,,,,,172.974.6831x02817,,,,,
*,*,*,FOIA Public Liaison,,,,,,749-269-2654x68999,,,,,
*,Department of Energy,,FOIA Requester Service Center,,,,,,(527)880-3099x347,,,,,
*,Department of Commerce,*,FOIA Public Liaison,,,,,,047.347.6376,,,,,
*,Department of Justice,,FOIA Requester Service Center,,,,,,048.413.0129,,,,,
*,*,,FOIA Requester Service Center,,,,,,2512782481,,,,,
*,Department of Defense,*,*,*,*,*,VA,*,405.319.3057x398,394-518-2226x22716,kimberly31@gmail.com,*,*,
*,Department of Energy,*,FOIA Officer,*,*,*,*,*,150-644-8808,074.470.5386x5329,fsmith@gmail.com,*,*,
*,Department of Energy,,FOIA Requester Service Center,,,,,,001-578-419-5185x541,,,,,
*,Department of Defense,,FOIA Requester Service Center,,"810 Vermont Avenue, NW",,,,429.958.7237,,,,,
*,Department of Commerce,*,*,,*,*,VA,*,895.648.7705x63228,(704)596-9454x12962,bguerrero@gmail.com,*,,
*,Department of Transportation,*,FOIA Public Liaison,,,,,*,(570)405-8256,,farleysteven@yahoo.com,,,
*,Department of Veterans Affairs,*,*,*,"810 Vermont Avenue, NW",Washington,DC,20420,(383)506-0406,(825)913-6561,kpoole@yahoo.com,http://www.foia.va.gov/,,
*,Department of Energy,,FOIA Requester Service Center,,,,,,(828)903-2614x56993,,,,,
*,Department of Agriculture,*,FOIA Public Liaison,*,"1400 Independence Avenue, SW",Washington,DC,*,(214)702-0047x349,472-999-0088x2499,cynthiarhodes@yahoo.com,,,
*,Department of Transportation,*,*,*,*,Washington,DC,*,136.273.9435x434,+1-438-687-4003x2767,megan62@gmail.com,*,*,This office has additional FOIA contact information that can be found by visiting its website.
*,Department of Health and Human Services,,FOIA Requester Service Center,,,,,,001-162-683-9844x249,,,,,
*,Department of Justice,*,FOIA Public Liaison,,,,,,(008)386-2349x0278,,,,,
*,*,,FOIA Requester Service Center,,,,,,898-531-0014,,,,,
*,Department of Veterans Affairs,*,FOIA Public Liaison,,,,,,844.652.9516,,snydershawn@yahoo.com,,,
*,Department of Transportation,*,FOIA Officer,*,*,Washington,DC,*,(528)013-7836x014,(072)750-5961,,*,*,
*,Department of Defense,*,FOIA Public Liaison,,,,,,6479966261,(040)126-1074x824,justin84@hotmail.com,,,
*,Department of Agriculture,*,FOIA Public Liaison,*,*,Washington,DC,*,001-103-313-2137x7815,(650)698-6058x9128,steven18@hotmail.com,,,
*,Department of Agriculture,*,*,*,,Washington,DC,*,(031)828-2704x945,272-392-3782,jeffreymorris@gmail.com,*,,
*,Department of Agriculture,,*,*,*,*,MD,*,(070)753-8169x26135,728.777.2832x89793,anneanderson@gmail.com,*,*,
*,Department of Veterans Affairs,*,*,*,"810 Vermont Avenue, NW",Washington,DC,20420,,960.616.2065x845,,http://www.foia.va.gov/,,
*,Department of Justice,*,FOIA Public Liaison,,,,,,4611088053,,,,,
*,Department of Justice,*,FOIA Public Liaison,,,,,,940-243-2205x650,,,,,
*,Department of Commerce,,FOIA Requester Service Center,,,,,,475-574-5618x306,,,,,
*,Department of Transportation,,FOIA Requester Service Center,,,,,,+1-342-127-8475x43948,369-689-8611,,,,
*,Department of Agriculture,*,*,*,*,*,VA,*,302.766.2029x70613,508.279.0052x1211,gregoryoneal@hotmail.com,*,,This office has additional FOIA contact information that can be found by visiting its website.
*,Department of Justice,*,FOIA Public Liaison,,,,,,001-462-729-3083x34215,,,,,
*,*,*,*,,,,,,(062)755-2657,,,,,
*,Department of Labor ,*,FOIA Public Liaison,,,,,,100-335-6550,,christinajohnson@hotmail.com,,,
*,Department of Transportation,*,FOIA Public Liaison,,,,,,422.671.1437x753,,antonio08@hotmail.com,,,
*,Department of Labor ,,FOIA Requester Service Center,,,Washington,,,,,,,,*
*,Department of Transportation,*,FOIA Public Liaison,,,,,,195.922.1424x47535,,shannon54@yahoo.com,,,
*,Department of Veterans Affairs,*,*,*,"810 Vermont Avenue, NW",Washington,DC,20420,129-695-0126x2981,(761)913-1676,,http://www.foia.va.gov/,,
*,Department of Defense,*,*,*,*,*,MD,*,(905)265-0592x83679,(230)086-1133x2879,william47@gmail.com,*,,
*,Department of Defense,*,*,*,*,*,VA,*,001-645-465-9894,800.323.6215x569,jbell@yahoo.com,*,*,
*,Department of Labor ,,FOIA Requester Service Center,,,,,,(933)158-2987,,,*,,
*,Department of Homeland Security,*,FOIA Officer,*,*,Washington,DC,*,7205510403,001-806-765-6179,mia95@yahoo.com,*,*,
*,Department of Justice,*,*,*,*,Washington,DC,*,(914)943-7917x22786,(584)823-2190x3440,veronica11@yahoo.com,*,,
*,Department of Justice,,FOIA Public Liaison,,,,,,001-883-661-4440,,,,,
*,Department of Defense,*,*,*,*,*,MD,*,+1-215-735-5749x16641,4128208350,aaronpadilla@hotmail.com,*,,
*,Department of Transportation,,FOIA Requester Service Center,,,,,,+1-199-806-9930x437,,,,,
*,Department of Defense,,FOIA Requester Service Center,,,,,,+1-482-089-1932x217,,,,,
*,Department of Homeland Security,*,FOIA Public Liaison,,,,,,+1-469-054-0163x71866,,,,,
*,*,*,FOIA Officer,*,,Washington,DC,*,(569)375-5109x482,019.347.4249x089,aaronharris@yahoo.com,*,http://www.doi.gov/foia/foia-request-form.cfm,
*,*,*,*,*,*,Washington,DC,*,(470)656-0517,314-651-9092x2008,,*,https://www.treasury.gov/foia/pages/gofoia.aspx,
*,Department of Health and Human Services,*,FOIA Public Liaison,,,,,,555-444-2245x269,,,,,
*,Department of Homeland Security,*,*,*,*,Washington,DC,*,(751)274-8221x2784,001-946-514-1957x090,robert00@hotmail.com,*,,
*,*,,FOIA Requester Service Center,,,,,,001-573-126-3008x2643,,,,,
*,Department of Defense,*,FOIA Public Liaison,,,,,,001-157-465-1448x466,,sherri16@yahoo.com,,,
*,Department of Veterans Affairs,*,FOIA Public Liaison,,,,,,243.539.4487x28290,,,,,
*,Department of Agriculture,*,FOIA Requester Service Center,*,*,Washington,DC,*,583-881-7607x2089,145-044-9044,perrygabriel@hotmail.com,*,,
*,Department of Energy,*,FOIA Public Liaison,,,,,,660.091.6050x326,,,,*,
*,Department of Justice,,FOIA Requester Service Center,,,,,,(129)394-5167x238,,,,,
*,Department of Homeland Security,,FOIA Requester Service Center,,,,,,653-827-4736,,tryan@hotmail.com,,,
*,Department of Defense,*,FOIA Public Liaison,,,,,,350-217-0749,,patrickcharlotte@hotmail.com,,,
*,Department of Labor ,,FOIA Requester Service Center,,,,,,449.014.2697x33603,,,,,
*,Department of Justice,*,FOIA Public Liaison,,,,,,920.932.4379x73959,,,,,
*,Department of Labor ,*,*,*,"200 Constitution Avenue, NW",Washington,DC,*,+1-259-442-5516x302,154-159-1156x680,,*,,This office has additional FOIA contact information that can be found by visiting its website.
*,Department of Veterans Affairs,*,FOIA Requester Service Center,,,,,,,,,,,
*,*,*,FOIA Officer,*,*,*,VA,*,238-676-0216x942,764-785-4908x44537,elliottbryan@yahoo.com,*,http://www.doi.gov/foia/foia-request-form.cfm,This office has additional FOIA contact information that can be found by visiting its website.
*,Department of Defense,*,FOIA Public Liaison,,,,,,118.478.0314,,wilkinsonpamela@yahoo.com,,,
*,Department of Labor ,*,FOIA Public Liaison,,,,,,001-774-007-0184x95114,,sarah36@yahoo.com,,,
*,Department of Justice,*,FOIA Public Liaison,,,,,,+1-529-835-3129x540,,,,,
*,*,,FOIA Requester Service Center,,,,,,483-754-5089x3239,,,,,
*,Department of Justice,*,FOIA Public Liaison,,,,,,501-997-4186x6881,,,,,
*,Department of Energy,*,FOIA Officer,*,*,*,*,*,8759635196,733-713-5262,wilsondennis@yahoo.com,*,*,
*,Department of Commerce,*,FOIA Public Liaison,,,,,,415-902-7840x461,,,,,
*,Department of Agriculture,*,FOIA Public Liaison,,,Washington,DC,*,999-107-1436,170.207.3990,leeamy@yahoo.com,,,
*,Department of Veterans Affairs,,FOIA Requester Service Center,,,,,,118.405.4885x9905,,,,,
*,Department of Agriculture,*,FOIA Officer,,"1400 Independence Avenue, SW",Washington,DC,*,(175)362-4067,087.797.1145,jonathanjones@gmail.com,*,,
*,Department of Defense,,FOIA Requester Service Center,,,,,,(108)278-7680,,,,,
*,Department of Homeland Security,*,FOIA Officer,*,*,Washington,DC,*,124.001.7746x80453,857-601-9636,csanchez@yahoo.com,*,,
*,Department of Defense,*,*,*,*,*,VA,*,(714)657-6081x126,(862)575-6388,,*,*,This agency has additional FOIA contact information that can be found by visiting its website.
*,*,*,*,*,*,Washington,DC,*,+1-845-115-4796x8003,(739)817-9214x7177,,,,
*,Department of Homeland Security,*,FOIA Officer,,,Washington,DC,*,+1-224-813-1837,001-269-600-6836x621,randy02@hotmail.com,*,,
*,Department of Labor ,,FOIA Requester Service Center,,,,,,237.759.1662x5456,,michael32@yahoo.com,,,
*,Department of Justice,,FOIA Requester Service Center,,,,,,775-062-4893,,,,,
*,Department of Veterans Affairs,*,FOIA Public Liaison,,,,,,387-099-7487x07400,,,,,
*,Department of Homeland Security,*,FOIA Public Liaison,,,,,,+1-494-367-9421x543,(768)137-8263,riversshelby@gmail.com,,,
*,Department of Homeland Security,*,FOIA Public Liaison,,,,,,386.203.9546,878.007.0273x08541,johnsonkrystal@gmail.com,,,
*,*,*,FOIA Public Liaison,,,,,,+1-138-795-9265x96023,,,,,
*,*,,FOIA Requester Service Center,,,,,,,,andrewsmichael@yahoo.com,,,
*,Department of Transportation,*,*,*,*,Washington,DC,*,001-689-725-7416x196,001.406.2786x881,larsonjustin@yahoo.com,*,,
*,Department of Veterans Affairs,*,*,*,,Washington,DC,*,572-574-9223x3345,349.087.0778,qnavarro@yahoo.com,*,,This office has additional FOIA contact information that can be found by visiting its website.
*,Department of Justice,*,*,,*,*,VA,*,,001-008-639-7916,wesley12@gmail.com,*,,
*,Department of Homeland Security,*,FOIA Requester Service Center,,,,,,(704)382-2453x1950,,,,,
*,Department of Defense,,FOIA Requester Service Center,,,,,,(118)739-3667,,michelle86@hotmail.com,,,
*,Department of Energy,*,FOIA Public Liaison,,,,,,(523)106-1753,,,,,
*,Department of Justice,,FOIA Requester Service Center,*,,,,,225-337-3043,,,,,
*,Department of Justice,*,*,*,*,Washington,DC,*,+1-146-359-6916x994,,usanchez@hotmail.com,*,,
*,Department of Agriculture,,FOIA Requester Service Center,,,,,,001-036-349-2870,,waltersdavid@hotmail.com,,,
*,Department of Veterans Affairs,*,FOIA Public Liaison,,,,,,,,,,,
*,Department of Transportation,,FOIA Requester Service Center,,,,,,459.675.7247,,,,,
*,*,*,FOIA Public Liaison,,,,,,986-304-6331,,,,,
*,Department of Veterans Affairs,,FOIA Requester Service Center,,,,,,191-396-2289x1960,,,,,
*,Department of Defense,*,FOIA Public Liaison,,,,,,(202)908-3503x2452,222-751-3966x0389,ruizlauren@gmail.com,,,
*,Department of Veterans Affairs,*,*,*,"810 Vermont Avenue, NW",Washington,DC,20420,001-928-739-8942x2690,790.354.9567x6487,,http://www.foia.va.gov/,,
*,Department of Justice,*,*,,,Washington,DC,20530-0001,191.018.8244x0317,,lcampos@gmail.com,*,,
*,Department of Labor ,*,FOIA Public Liaison,,,,,,(287)346-5603x38251,,harrisonkatie@hotmail.com,,,
*,*,*,*,*,*,Washington,DC,*,523.361.9739,,,*,https://www.treasury.gov/foia/pages/gofoia.aspx,
*,Department of Transportation,*,*,*,*,Washington,DC,*,+1-353-126-5131x5482,+1-342-307-1528x76762,mjenkins@gmail.com,*,,
*,Department of Justice,*,FOIA Public Liaison,,,,,,740.127.7122x8622,,,,,
*,*,*,FOIA Public Liaison,,,,,,001-078-558-9968,,,,,
*,Department of Veterans Affairs,*,*,*,"810 Vermont Avenue, NW",Washington,DC,20420,001-988-556-1374,362.220.3437x3005,,http://www.foia.va.gov/,,
*,Department of Health and Human Services,,FOIA Requester Service Center,,,,,,(531)339-1223x4215,,,,,
*,Department of Homeland Security,,FOIA Public Liaison,,,,DC,,+1-349-761-3081x7900,,arthur91@hotmail.com,,,
*,Department of Commerce,,FOIA Requester Service Center,,,,,,,,,,,
*,Department of Justice,*,FOIA Public Liaison,,,,,,398.432.0708,,,,,
*,Department of Labor ,,FOIA Requester Service Center,,,,,,001-890-891-3483x90155,,jane76@gmail.com,,,
*,Department of Labor ,*,FOIA Public Liaison,,,,,,799-074-1474,,guzmanchristopher@yahoo.com,,,
*,Department of Transportation,*,FOIA Officer,*,*,Washington,DC,*,001-209-604-8539x1370,001-791-325-9137x040,jimenezjamie@yahoo.com,*,,
*,*,*,FOIA Public Liaison,,,,,*,001-415-719-0348x43131,,,,,
*,Department of Defense,*,FOIA Public Liaison,,,,,,5772188100,,xjones@hotmail.com,,,
*,Department of Defense,*,FOIA Public Liaison,,,,,,930.478.1731,,jgraham@hotmail.com,,,
*,Department of Veterans Affairs,*,FOIA Public Liaison,,,,,,757.750.0229x780,,,,,
*,Department of Health and Human Services,*,FOIA Public Liaison,,,,,,951.082.6699x94289,,,,,
*,Department of Energy,*,FOIA Public Liaison,,,,,,709.615.0220x8918,,,,,
*,Department of Energy,,FOIA Officer,*,*,*,*,*,+1-599-373-0654x70193,370.713.6667,simpsonwesley@gmail.com,*,*,
*,Department of Agriculture,*,FOIA Requester Service Center,*,"1400 Independence Avenue, SW",Washington,DC,*,980-729-2415x406,,debra58@yahoo.com,,,
*,Department of Defense,,FOIA Requester Service Center,,,,,,606.155.3112x1404,,,,,
*,Department of Defense,*,*,*,*,*,*,*,8862727605,(215)679-8060x4016,danielsjoseph@gmail.com,*,,
*,Department of Veterans Affairs,*,*,*,"810 Vermont Avenue, NW",Washington,DC,20420,,(134)428-6896x9522,,http://www.foia.va.gov/,,
*,Department of Agriculture,,FOIA Requester Service Center,,,,,,001-136-903-3717x51965,,,,,
*,*,*,FOIA Public Liaison,*,*,*,*,*,918-327-0736x52791,+1-362-339-2937x3513,,*,https://hudpal.efoia-host.com/palMain.aspx,This office has additional FOIA contact information that can be found by visiting its website.
*,Department of Agriculture,*,FOIA Public Liaison,*,"1400 Independence Avenue, SW",Washington,MD,*,980.476.9847,,,,,
*,Department of Health and Human Services,,FOIA Requester Service Center,,,,,,(234)070-8437x4352,,,http://www.foia.va.gov/,,
*,Department of Justice,,FOIA Requester Service Center,,,,,,(227)285-9198x25164,,,,,
*,Department of Veterans Affairs,*,*,*,"810 Vermont Avenue, NW",Washington,,20420,001-010-980-7060x976,(356)152-4528x2525,,http://www.foia.va.gov/,,
*,Department of Justice,,FOIA Requester Service Center,,,,,,+1-107-524-0004,,,,,
*,Department of Defense,,FOIA Requester Service Center,,,,,,2703671277,,hcain@yahoo.com,,,
*,Department of Defense,,FOIA Requester Service Center,,,,,,(050)282-6633,,,,,
*,Department of Homeland Security,*,*,,,,,,+1-564-384-0266x76054,,,,,
*,Department of Energy,*,FOIA Public Liaison,,,,DC,,9279591569,,,,,
*,Department of Justice,*,FOIA Public Liaison,,,,,,001-174-496-3447,,,,,
*,Department of Transportation,*,FOIA Requester Service Center,,,,,,822-819-6593x75772,,,,,
*,Department of Justice,*,*,*,*,Washington,,20530-0001,+1-146-622-5631x9884,+1-617-429-9187x7966,brett60@yahoo.com,*,http://www.justice.gov/oip/oip-request.html,*
*,Department of Health and Human Services,*,FOIA Officer,,,Washington,DC,*,212.247.4500,,,*,,
*,*,,FOIA Requester Service Center,,,,,,747-946-0406x69194,,,,,
*,Department of Labor ,*,*,*,"200 Constitution Avenue, NW",Washington,DC,*,748.810.7201x19484,(991)927-5498,ashley11@yahoo.com,*,,
*,Department of Labor ,*,*,*,"200 Constitution Avenue, NW",Washington,DC,*,001-195-264-6237x8772,(001)842-6671,susan62@hotmail.com,*,,This office has additional FOIA contact information that can be found by visiting its website.
*,Department of Agriculture,*,*,*,*,*,VA,*,644-732-2450,(646)021-8362x6529,umoss@gmail.com,*,,
